2025-05-25 17:31:19 INFO  - [0s]	Traffic Simulator starting.
2025-05-25 17:31:20 INFO  - [2s]	North: Car [1AA3777] Arrived
2025-05-25 17:31:21 INFO  - [3s]	West: Car [1AA3473] Arrived
2025-05-25 17:31:22 INFO  - [4s]	North: Car [1AA8290] Arrived
2025-05-25 17:31:23 INFO  - [5s]	--------Phase switch!
2025-05-25 17:31:23 INFO  - [5s]		phase overview: Phase: NS_GREEN; len: 5;timer: 5; carsPassed: 1; carsOnRoad: 0
2025-05-25 17:31:23 INFO  - [5s]		New phase: Phase: EW_GREEN; len: 6;timer: 0; carsPassed: 0; carsOnRoad: 0
2025-05-25 17:31:23 INFO  - [5s]		Car Queues:	North(1) ; East(1) ; South(0) ; West:(0)
2025-05-25 17:31:24 INFO  - [6s]	North: Car [1AA1449] Arrived
2025-05-25 17:31:24 INFO  - [6s]	West: Car [1AA8997] Arrived
2025-05-25 17:31:26 INFO  - [8s]	North: Car [1AA4529] Arrived
2025-05-25 17:31:27 INFO  - [9s]	West: Car [1AA8235] Arrived
2025-05-25 17:31:28 INFO  - [10s]	North: Car [1AA8502] Arrived
2025-05-25 17:31:29 INFO  - [11s]	--------Phase switch!
2025-05-25 17:31:29 INFO  - [11s]		phase overview: Phase: EW_GREEN; len: 6;timer: 6; carsPassed: 2; carsOnRoad: 0
2025-05-25 17:31:29 INFO  - [11s]		New phase: Phase: NS_GREEN; len: 5;timer: 0; carsPassed: 0; carsOnRoad: 0
2025-05-25 17:31:29 INFO  - [11s]		Car Queues:	North(4) ; East(1) ; South(0) ; West:(0)
2025-05-25 17:31:30 INFO  - [12s]	North: Car [1AA4361] Arrived
2025-05-25 17:31:30 INFO  - [12s]	West: Car [1AA6864] Arrived
2025-05-25 17:31:32 INFO  - [14s]	North: Car [1AA2404] Arrived
2025-05-25 17:31:33 INFO  - [15s]	West: Car [1AA4352] Arrived
2025-05-25 17:31:34 INFO  - [15s]	Traffic Simulator finished
